customer_id,gender,senior_citizen,partner,tenure_months,contract,internet_service,online_security,tech_support,paperless_billing,payment_method,monthly_charges,total_charges,churn
CUST00022,Male,1,Yes,61,Month-to-month,No,Yes,No,Yes,Bank transfer,18.0,1080.56,No
CUST00023,Male,1,Yes,25,Month-to-month,DSL,No,Yes,No,Electronic check,59.66,1477.66,No
CUST00024,Male,0,No,53,Month-to-month,Fiber optic,Yes,No internet service,No,Credit card,76.71,3775.54,No
CUST00025,Male,0,No,14,One year,DSL,No internet service,No,Yes,Credit card,68.81,942.55,No
CUST00026,Female,0,No,5,Month-to-month,No,Yes,No,No,Credit card,95.81,445.99,Yes
CUST00027,Male,0,No,1,Month-to-month,No,No,No,No,Electronic check,75.93,70.58,Yes
CUST00028,Male,0,Yes,25,One year,Fiber optic,No,No,Yes,Bank transfer,50.9,1169.76,Yes
CUST00029,Male,0,Yes,2,Month-to-month,Fiber optic,Yes,Yes,No,Electronic check,18.0,34.84,No
CUST00030,Male,0,Yes,7,One year,DSL,Yes,No,No,Credit card,59.07,382.96,No
CUST00031,Female,0,No,15,Month-to-month,No,Yes,No,Yes,Bank transfer,90.7,1287.69,No
CUST00032,Male,0,No,16,Month-to-month,No,No internet service,No,Yes,Mailed check,55.2,866.61,No
CUST00033,Female,0,Yes,18,Two year,No,No,Yes,No,Bank transfer,65.71,1158.17,No
CUST00034,Male,0,No,3,Two year,Fiber optic,Yes,Yes,Yes,Electronic check,75.53,223.31,No
CUST00035,Female,0,No,9,Two year,DSL,No,No,Yes,Mailed check,39.62,326.67,No
CUST00036,Female,0,No,19,Month-to-month,No,No,Yes,Yes,Electronic check,80.58,1467.77,Yes
CUST00037,Female,1,No,70,Month-to-month,DSL,No internet service,No internet service,Yes,Credit card,105.93,7351.95,No
CUST00038,Male,0,Yes,26,One year,Fiber optic,No,Yes,Yes,Credit card,60.68,1426.55,No
CUST00039,Female,0,No,51,Month-to-month,DSL,No internet service,No,Yes,Bank transfer,36.77,1836.74,No
CUST00040,Male,0,No,28,Month-to-month,No,No,No,Yes,Credit card,63.33,1639.58,Yes
CUST00041,Female,0,Yes,17,Month-to-month,DSL,No internet service,No internet service,Yes,Electronic check,18.0,295.89,No
CUST00042,Female,0,No,4,Month-to-month,DSL,Yes,No,Yes,Credit card,73.42,285.38,No
CUST00043,Male,0,Yes,21,Two year,Fiber optic,Yes,Yes,No,Electronic check,76.31,1590.58,No
CUST00044,Female,1,Yes,19,Month-to-month,Fiber optic,No internet service,Yes,No,Bank transfer,106.89,1931.15,Yes
CUST00045,Male,0,Yes,18,One year,Fiber optic,No internet service,No,Yes,Bank transfer,60.15,1066.27,No
CUST00046,Male,0,No,13,Month-to-month,DSL,No,No,No,Electronic check,75.21,884.39,No
CUST00047,Male,0,No,15,Month-to-month,DSL,No,No,No,Mailed check,43.47,614.27,No
CUST00048,Female,0,Yes,8,Month-to-month,Fiber optic,No,Yes,No,Electronic check,56.09,423.57,Yes
CUST00049,Female,0,No,14,Month-to-month,No,Yes,No internet service,Yes,Credit card,26.87,358.81,No
CUST00050,Female,0,Yes,4,Two year,No,Yes,Yes,Yes,Electronic check,60.13,228.05,No
CUST00051,Female,0,Yes,32,One year,Fiber optic,Yes,No,No,Mailed check,57.37,1829.96,No
CUST00052,Female,0,Yes,4,Two year,No,No,No internet service,Yes,Credit card,72.48,263.21,No
CUST00053,Male,0,No,1,Two year,Fiber optic,Yes,No,No,Electronic check,49.41,45.78,No
CUST00054,Female,0,No,11,One year,Fiber optic,Yes,No,Yes,Mailed check,67.08,735.57,No
CUST00055,Male,0,No,21,Two year,Fiber optic,No internet service,Yes,No,Bank transfer,56.67,1124.06,No
CUST00056,Female,0,No,11,Month-to-month,Fiber optic,Yes,No internet service,Yes,Electronic check,56.71,597.06,No
CUST00057,Female,0,Yes,6,Month-to-month,Fiber optic,No,Yes,Yes,Credit card,67.01,365.11,No
CUST00058,Male,0,No,16,Month-to-month,Fiber optic,No internet service,No,No,Electronic check,66.01,980.54,No
CUST00059,Male,1,Yes,8,Month-to-month,DSL,Yes,No internet service,Yes,Electronic check,84.03,607.68,No
CUST00060,Male,0,No,54,Month-to-month,DSL,Yes,Yes,Yes,Bank transfer,61.98,3058.25,No
CUST00061,Female,0,Yes,51,Month-to-month,DSL,No,No,Yes,Mailed check,56.25,2763.56,Yes
CUST00062,Female,0,Yes,13,Two year,Fiber optic,No,No internet service,Yes,Credit card,60.48,767.66,No
CUST00063,Male,0,No,7,Month-to-month,DSL,No,No,Yes,Credit card,47.13,325.62,Yes
CUST00064,Male,0,Yes,26,Month-to-month,DSL,No,No,No,Mailed check,56.0,1347.01,No
CUST00065,Female,0,Yes,0,Month-to-month,Fiber optic,No internet service,No internet service,No,Mailed check,115.78,0.0,No
CUST00066,Male,1,No,12,Month-to-month,Fiber optic,Yes,No,No,Electronic check,42.18,484.36,Yes
CUST00067,Male,0,Yes,8,Two year,Fiber optic,No,No,Yes,Electronic check,58.03,421.7,No
CUST00068,Male,0,Yes,50,Month-to-month,Fiber optic,Yes,No,Yes,Mailed check,55.31,2712.05,Yes
CUST00069,Female,0,Yes,0,Two year,No,No,Yes,No,Credit card,58.82,0.0,No
CUST00070,Female,0,Yes,16,One year,No,Yes,Yes,No,Electronic check,56.72,904.39,No
CUST00071,Female,0,Yes,26,Month-to-month,No,No,Yes,No,Electronic check,71.98,1706.29,No
CUST00072,Male,1,Yes,13,Month-to-month,Fiber optic,No internet service,Yes,Yes,Mailed check,22.25,264.18,Yes
CUST00073,Male,0,No,1,Two year,DSL,Yes,Yes,No,Electronic check,90.93,85.01,Yes
CUST00074,Female,0,No,71,One year,No,Yes,No,Yes,Bank transfer,80.81,5282.39,No
CUST00075,Female,0,No,14,One year,DSL,No,Yes,Yes,Mailed check,33.93,460.61,No
CUST00076,Male,1,Yes,19,One year,DSL,Yes,No internet service,No,Mailed check,18.0,340.18,No
CUST00077,Female,1,Yes,5,Month-to-month,Fiber optic,No,No,Yes,Electronic check,40.57,184.39,Yes
CUST00078,Male,0,No,13,Month-to-month,DSL,No,No,Yes,Credit card,58.93,708.04,No
CUST00079,Female,0,No,11,Month-to-month,No,No internet service,No,No,Electronic check,120.0,1219.4,No
CUST00080,Female,0,Yes,1,Two year,Fiber optic,No,Yes,No,Credit card,78.58,74.72,No
CUST00081,Female,1,Yes,2,One year,Fiber optic,No,No,No,Mailed check,19.81,37.45,No
CUST00082,Female,0,Yes,36,Month-to-month,Fiber optic,Yes,No,Yes,Credit card,47.76,1672.4,Yes
CUST00083,Female,0,No,5,Month-to-month,Fiber optic,No,No,Yes,Bank transfer,63.67,309.84,Yes
CUST00084,Female,1,No,4,Month-to-month,DSL,No,Yes,Yes,Electronic check,71.34,273.17,Yes
CUST00085,Male,0,Yes,14,Month-to-month,Fiber optic,No internet service,No,No,Credit card,32.13,431.42,No
CUST00086,Male,0,Yes,29,One year,Fiber optic,No internet service,No,Yes,Bank transfer,61.63,1759.09,No
CUST00087,Male,0,No,1,One year,Fiber optic,No internet service,No,Yes,Electronic check,47.06,44.22,Yes
CUST00088,Female,0,Yes,17,Two year,Fiber optic,No,Yes,Yes,Electronic check,37.41,573.16,No
CUST00089,Female,0,No,2,Month-to-month,DSL,No,No,Yes,Bank transfer,71.49,131.73,No
CUST00090,Female,0,No,0,Month-to-month,DSL,No internet service,No,No,Bank transfer,84.35,0.0,No
CUST00091,Male,0,Yes,1,One year,DSL,No,No,Yes,Bank transfer,86.03,80.81,Yes
CUST00092,Female,0,Yes,35,One year,Fiber optic,No,No,No,Bank transfer,79.36,2599.23,Yes
CUST00093,Male,0,Yes,2,One year,No,Yes,Yes,Yes,Bank transfer,52.57,95.66,No
CUST00094,Female,1,No,0,One year,No,No internet service,Yes,Yes,Bank transfer,82.86,0.0,Yes
CUST00095,Male,0,No,11,Month-to-month,Fiber optic,No,Yes,No,Bank transfer,72.73,764.27,No
CUST00096,Male,0,No,37,Month-to-month,Fiber optic,No,Yes,No,Electronic check,68.35,2333.13,No
CUST00097,Male,0,No,6,Month-to-month,Fiber optic,No internet service,Yes,No,Credit card,49.71,291.08,No
CUST00098,Female,0,No,10,Month-to-month,DSL,No,Yes,No,Electronic check,52.58,508.34,Yes
CUST00099,Male,1,No,0,Month-to-month,DSL,No,Yes,Yes,Mailed check,66.85,0.0,Yes
CUST00100,Female,0,No,11,Month-to-month,No,No,No,Yes,Bank transfer,120.0,1317.74,No
CUST00101,Male,0,Yes,17,One year,Fiber optic,No,No internet service,Yes,Mailed check,72.53,1131.59,Yes
CUST00102,Male,1,No,16,Month-to-month,No,Yes,No,No,Electronic check,49.72,777.36,No
CUST00103,Female,0,No,8,Month-to-month,DSL,No,No,No,Electronic check,44.19,352.4,No
CUST00104,Male,0,No,7,Two year,Fiber optic,No,No internet service,Yes,Bank transfer,52.71,358.84,No
CUST00105,Male,1,No,2,Month-to-month,DSL,No,No,No,Credit card,119.43,230.88,Yes
CUST00106,Female,0,Yes,9,Month-to-month,DSL,No internet service,No,Yes,Bank transfer,55.02,490.39,No
CUST00107,Male,0,Yes,2,One year,Fiber optic,No,No,Yes,Mailed check,87.67,162.52,Yes
CUST00108,Male,0,No,29,Month-to-month,DSL,No internet service,No,Yes,Electronic check,55.6,1495.85,Yes
CUST00109,Male,1,Yes,67,Month-to-month,DSL,No,No,No,Electronic check,71.53,4620.54,No
CUST00110,Male,0,Yes,70,Month-to-month,DSL,No,No internet service,No,Electronic check,84.79,5865.35,No
CUST00111,Male,0,No,40,Month-to-month,DSL,Yes,No,Yes,Electronic check,50.7,1950.4,No
CUST00112,Male,1,No,18,Two year,Fiber optic,Yes,No internet service,Yes,Mailed check,48.97,879.44,No
CUST00113,Female,0,No,24,Two year,Fiber optic,No,No,Yes,Electronic check,106.47,2356.71,No
CUST00114,Male,0,No,6,One year,DSL,Yes,No,Yes,Electronic check,89.61,528.3,No
CUST00115,Male,0,No,19,Two year,DSL,No internet service,No,Yes,Bank transfer,84.77,1598.91,No
CUST00116,Female,0,No,12,Two year,DSL,Yes,No,Yes,Credit card,84.68,957.93,No
CUST00117,Male,0,Yes,13,Month-to-month,Fiber optic,No internet service,Yes,No,Credit card,76.49,990.59,No
CUST00118,Female,1,No,28,Two year,DSL,No,No,Yes,Bank transfer,115.44,2974.43,Yes
CUST00119,Male,0,Yes,6,Month-to-month,Fiber optic,No,No,No,Electronic check,66.1,394.73,No
CUST00120,Male,0,No,7,Two year,DSL,Yes,No,Yes,Bank transfer,79.43,550.61,No
CUST00121,Male,0,Yes,51,Two year,DSL,No,Yes,Yes,Electronic check,28.73,1328.4,No
CUST00122,Female,0,Yes,1,Month-to-month,No,Yes,Yes,Yes,Bank transfer,44.38,42.26,Yes
CUST00123,Female,0,No,13,Month-to-month,Fiber optic,No,No,No,Credit card,34.98,433.31,Yes
CUST00124,Male,0,No,48,Month-to-month,DSL,No,No internet service,No,Bank transfer,96.85,4210.41,Yes
CUST00125,Male,0,Yes,18,Month-to-month,No,No,No,Yes,Credit card,18.0,292.88,No
CUST00126,Male,1,Yes,15,Two year,Fiber optic,No internet service,No,Yes,Bank transfer,54.94,742.11,No
CUST00127,Female,0,No,5,Two year,No,No,Yes,No,Bank transfer,18.0,85.72,Yes
CUST00128,Female,0,No,8,Month-to-month,Fiber optic,Yes,No,No,Electronic check,44.22,334.79,Yes
CUST00129,Male,0,Yes,38,Month-to-month,Fiber optic,No,No,No,Credit card,52.73,1991.81,Yes
CUST00130,Female,0,Yes,16,Month-to-month,No,No internet service,No,Yes,Electronic check,99.62,1489.09,No
CUST00131,Female,1,Yes,14,Month-to-month,DSL,Yes,No internet service,No,Credit card,74.92,1013.03,No
CUST00132,Female,0,Yes,2,Month-to-month,Fiber optic,No,No internet service,Yes,Electronic check,44.17,79.57,Yes
CUST00133,Female,0,No,0,Month-to-month,Fiber optic,Yes,Yes,Yes,Electronic check,91.65,0.0,Yes
CUST00134,Male,0,Yes,66,Two year,DSL,Yes,No,Yes,Credit card,65.45,4282.32,No
CUST00135,Female,0,Yes,9,Month-to-month,DSL,No,Yes,Yes,Electronic check,65.94,555.17,No
CUST00136,Male,0,No,18,Month-to-month,DSL,No,Yes,Yes,Credit card,34.93,585.61,No
CUST00137,Male,0,No,1,One year,Fiber optic,No,Yes,Yes,Electronic check,40.25,38.74,Yes
CUST00138,Female,0,Yes,22,Month-to-month,Fiber optic,No,No,Yes,Credit card,44.37,910.6,No
CUST00139,Female,0,Yes,53,Two year,Fiber optic,Yes,No,No,Bank transfer,66.16,3296.94,Yes
CUST00140,Female,0,No,17,Two year,DSL,Yes,No,No,Bank transfer,66.95,1055.42,No
CUST00141,Female,0,Yes,2,Month-to-month,Fiber optic,No,No internet service,Yes,Mailed check,103.6,193.63,Yes
CUST00142,Female,0,No,17,Month-to-month,No,No,Yes,Yes,Electronic check,74.63,1228.04,Yes
CUST00143,Male,0,No,29,Month-to-month,Fiber optic,Yes,No,Yes,Credit card,18.0,517.95,No
CUST00144,Male,0,Yes,10,Month-to-month,Fiber optic,No,No,Yes,Electronic check,71.57,685.86,Yes
CUST00145,Male,0,No,42,Month-to-month,Fiber optic,No,Yes,Yes,Mailed check,28.75,1087.96,Yes
CUST00146,Male,0,Yes,20,One year,Fiber optic,Yes,No internet service,Yes,Bank transfer,40.85,756.86,No
CUST00147,Female,0,Yes,45,Month-to-month,Fiber optic,No,No,Yes,Mailed check,44.7,2001.89,Yes
CUST00148,Female,0,No,19,Month-to-month,No,No,No internet service,No,Electronic check,48.42,911.73,Yes
CUST00149,Female,1,Yes,2,Month-to-month,Fiber optic,Yes,No,No,Electronic check,30.62,55.82,Yes
CUST00150,Female,1,Yes,7,Two year,No,No,Yes,No,Electronic check,70.09,486.14,No
CUST00151,Male,0,No,4,Month-to-month,DSL,No,Yes,Yes,Credit card,29.73,118.5,No
CUST00152,Male,0,No,47,Month-to-month,DSL,No internet service,No internet service,No,Electronic check,73.92,3239.58,No
CUST00153,Female,0,Yes,28,Month-to-month,DSL,No,Yes,Yes,Credit card,120.0,3259.54,No
CUST00154,Male,0,No,22,Two year,Fiber optic,No,No internet service,Yes,Electronic check,31.77,668.19,No
CUST00155,Male,0,Yes,7,Month-to-month,Fiber optic,Yes,No,No,Electronic check,57.89,378.37,Yes
CUST00156,Female,0,No,4,One year,DSL,No internet service,Yes,No,Bank transfer,18.0,65.9,No
CUST00157,Female,0,No,28,One year,DSL,No internet service,No,No,Electronic check,57.48,1507.55,No
CUST00158,Male,1,No,12,Month-to-month,No,Yes,Yes,Yes,Bank transfer,81.07,965.82,Yes
CUST00159,Female,1,No,5,One year,No,Yes,Yes,No,Credit card,83.02,407.26,Yes
CUST00160,Female,0,Yes,19,Month-to-month,Fiber optic,No,No internet service,No,Electronic check,66.93,1186.55,No
CUST00161,Female,0,Yes,0,One year,Fiber optic,No,No,Yes,Credit card,87.23,0.0,Yes
CUST00162,Male,0,Yes,7,One year,Fiber optic,Yes,No,Yes,Mailed check,120.0,790.1,No
CUST00163,Female,0,No,12,Month-to-month,Fiber optic,No,Yes,Yes,Electronic check,107.81,1224.67,Yes
CUST00164,Male,0,Yes,3,Month-to-month,No,Yes,Yes,Yes,Electronic check,51.94,152.1,No
CUST00165,Female,0,No,72,Two year,DSL,Yes,No,No,Credit card,28.72,1973.34,No
CUST00166,Female,0,No,4,Month-to-month,Fiber optic,No,No,Yes,Electronic check,54.85,201.43,Yes
CUST00167,Female,0,Yes,2,Month-to-month,DSL,No,No,No,Credit card,41.33,76.62,No
CUST00168,Male,0,No,4,Month-to-month,Fiber optic,No internet service,No,No,Mailed check,76.28,291.93,No
CUST00169,Male,1,No,29,One year,Fiber optic,No,No,Yes,Electronic check,35.47,997.03,No
CUST00170,Female,0,Yes,11,One year,Fiber optic,No,Yes,Yes,Mailed check,63.18,660.8,No
CUST00171,Female,0,No,16,Month-to-month,DSL,No internet service,Yes,Yes,Credit card,85.95,1322.97,Yes
CUST00172,Male,0,Yes,0,Month-to-month,Fiber optic,Yes,Yes,Yes,Bank transfer,62.48,0.0,Yes
CUST00173,Female,0,Yes,0,Month-to-month,DSL,No,No,Yes,Mailed check,41.34,0.0,No
CUST00174,Male,1,No,11,One year,DSL,No,No,Yes,Credit card,94.37,1035.7,Yes
CUST00175,Female,0,No,33,Month-to-month,DSL,Yes,Yes,No,Electronic check,18.03,549.51,Yes
CUST00176,Male,0,Yes,43,One year,Fiber optic,Yes,Yes,No,Credit card,56.81,2423.21,No
CUST00177,Female,0,No,1,Month-to-month,Fiber optic,No internet service,No,No,Credit card,63.96,59.15,Yes
CUST00178,Male,1,Yes,15,Two year,Fiber optic,No,No internet service,No,Bank transfer,65.4,935.05,No
CUST00179,Female,0,No,48,Month-to-month,Fiber optic,Yes,No,No,Credit card,69.51,3154.94,No
CUST00180,Female,0,No,9,Month-to-month,Fiber optic,No internet service,Yes,Yes,Mailed check,80.26,677.04,No
CUST00181,Female,0,Yes,35,Month-to-month,Fiber optic,No,No,Yes,Bank transfer,64.11,2235.49,No
CUST00182,Female,0,No,2,Two year,Fiber optic,No,No,No,Bank transfer,55.8,103.48,No
CUST00183,Female,0,Yes,54,Two year,Fiber optic,No,Yes,No,Mailed check,54.81,2863.51,Yes
CUST00184,Female,0,Yes,27,Month-to-month,Fiber optic,No,No,Yes,Bank transfer,49.71,1315.87,Yes
CUST00185,Male,0,No,56,One year,Fiber optic,No,No,Yes,Electronic check,84.69,4361.81,No
CUST00186,Female,0,Yes,22,Two year,No,Yes,Yes,Yes,Mailed check,48.84,1071.6,No
CUST00187,Female,0,No,9,One year,No,No,No internet service,Yes,Electronic check,86.17,740.37,No
CUST00188,Female,1,No,55,Month-to-month,DSL,No,No internet service,Yes,Electronic check,65.47,3570.06,No
CUST00189,Female,0,Yes,6,Month-to-month,DSL,No internet service,No,Yes,Electronic check,51.97,301.34,No
CUST00190,Male,0,Yes,8,Month-to-month,Fiber optic,No,Yes,No,Credit card,80.46,621.11,No
CUST00191,Male,0,Yes,24,Two year,DSL,No,No,No,Mailed check,46.81,1049.92,No
CUST00192,Female,0,Yes,28,Two year,DSL,Yes,Yes,No,Bank transfer,80.95,2214.6,No
CUST00193,Female,0,Yes,53,One year,No,No internet service,Yes,Yes,Electronic check,70.32,3365.37,No
CUST00194,Female,0,Yes,4,Month-to-month,DSL,No,No,Yes,Mailed check,50.09,191.46,Yes
CUST00195,Female,1,No,31,Month-to-month,No,No,No,Yes,Electronic check,78.22,2190.13,No
CUST00196,Female,0,No,26,One year,Fiber optic,No internet service,Yes,No,Electronic check,78.66,1903.4,No
CUST00197,Female,0,Yes,1,Two year,Fiber optic,No internet service,No,Yes,Bank transfer,93.94,85.45,Yes
CUST00198,Male,0,Yes,9,Two year,DSL,No,Yes,Yes,Bank transfer,89.15,795.26,No
CUST00199,Male,0,No,6,One year,DSL,No,No internet service,Yes,Electronic check,77.28,446.44,No
CUST00200,Male,0,No,7,One year,Fiber optic,No internet service,No internet service,Yes,Mailed check,36.81,249.13,No
CUST00201,Male,0,Yes,72,Month-to-month,DSL,No internet service,No,Yes,Credit card,120.0,8511.37,No
CUST00202,Female,0,No,20,Month-to-month,DSL,No,No,No,Electronic check,29.91,582.23,No
CUST00203,Female,1,No,25,Two year,DSL,No,Yes,Yes,Electronic check,88.73,2023.97,No
CUST00204,Male,0,No,72,One year,DSL,Yes,No,Yes,Bank transfer,75.78,5247.48,No
CUST00205,Male,0,Yes,9,Month-to-month,DSL,No,No internet service,Yes,Electronic check,35.65,320.15,No
CUST00206,Female,1,No,32,Month-to-month,Fiber optic,No,Yes,No,Credit card,61.89,1824.84,Yes
CUST00207,Male,0,Yes,11,One year,DSL,No,No,Yes,Bank transfer,63.03,666.96,Yes
CUST00208,Male,1,No,40,Month-to-month,DSL,No,No,No,Mailed check,97.64,3735.17,No
CUST00209,Female,0,Yes,3,Month-to-month,Fiber optic,Yes,No,Yes,Mailed check,47.17,132.9,Yes
CUST00210,Male,0,No,59,Month-to-month,No,Yes,No,Yes,Bank transfer,58.45,3432.91,Yes
CUST00211,Female,0,No,4,One year,DSL,No,No internet service,Yes,Electronic check,18.0,67.37,No
CUST00212,Male,0,No,7,One year,DSL,No,Yes,Yes,Credit card,108.37,689.84,No
CUST00213,Female,0,No,28,Month-to-month,Fiber optic,No,No,No,Bank transfer,38.24,1066.71,No
CUST00214,Female,0,Yes,10,One year,No,No internet service,No internet service,No,Electronic check,73.17,711.89,No
CUST00215,Female,0,No,18,Month-to-month,Fiber optic,No,No,No,Bank transfer,62.46,1050.35,No
CUST00216,Male,1,No,11,Month-to-month,Fiber optic,No,No internet service,Yes,Electronic check,62.55,638.55,No
CUST00217,Male,0,Yes,27,One year,DSL,Yes,Yes,Yes,Electronic check,85.25,2285.18,No
CUST00218,Male,0,No,5,One year,Fiber optic,No,No internet service,No,Bank transfer,106.78,495.11,Yes
CUST00219,Male,0,No,1,Two year,DSL,No,Yes,Yes,Bank transfer,71.29,67.99,No
CUST00220,Female,1,No,7,One year,Fiber optic,No,No internet service,No,Bank transfer,81.38,524.94,No
CUST00221,Male,0,No,12,One year,Fiber optic,Yes,Yes,No,Electronic check,73.22,878.22,Yes
CUST00222,Female,1,No,3,Month-to-month,No,Yes,No,Yes,Bank transfer,90.44,265.07,Yes
CUST00223,Male,0,No,8,Month-to-month,DSL,Yes,No,Yes,Electronic check,53.43,408.96,Yes
CUST00224,Female,0,No,10,Month-to-month,DSL,No,No,No,Bank transfer,91.88,895.45,Yes
CUST00225,Female,0,No,1,Month-to-month,Fiber optic,No,Yes,Yes,Bank transfer,92.76,91.98,No
CUST00226,Female,0,No,17,Two year,Fiber optic,No internet service,No internet service,Yes,Bank transfer,92.06,1559.25,No
CUST00227,Male,0,No,43,Month-to-month,Fiber optic,No,No,Yes,Credit card,48.5,2040.87,Yes
CUST00228,Male,0,Yes,3,Two year,DSL,No,No,Yes,Credit card,60.79,179.62,Yes
CUST00229,Female,0,Yes,18,One year,DSL,No internet service,Yes,No,Credit card,70.99,1200.87,No
CUST00230,Male,1,No,21,One year,Fiber optic,No,No internet service,Yes,Credit card,30.73,606.08,No
CUST00231,Female,0,No,10,Month-to-month,DSL,No,No,No,Bank transfer,104.87,1028.6,No
CUST00232,Male,1,Yes,24,One year,No,No internet service,No internet service,No,Credit card,64.69,1515.24,No
CUST00233,Male,0,Yes,10,Month-to-month,Fiber optic,No,No,Yes,Credit card,72.1,713.86,Yes
CUST00234,Male,1,Yes,14,Month-to-month,Fiber optic,Yes,Yes,No,Bank transfer,50.57,646.6,No
CUST00235,Male,0,No,0,One year,Fiber optic,No internet service,No,Yes,Electronic check,31.83,0.0,Yes
CUST00236,Female,0,No,23,Month-to-month,Fiber optic,No,No,No,Electronic check,49.9,1107.26,Yes
CUST00237,Male,0,No,21,Month-to-month,DSL,No,No,No,Credit card,70.48,1450.26,No
CUST00238,Male,0,Yes,0,One year,No,No internet service,No,Yes,Mailed check,81.84,0.0,No
CUST00239,Male,0,Yes,9,Month-to-month,DSL,No,Yes,No,Credit card,69.04,610.56,No
CUST00240,Female,0,Yes,72,Two year,Fiber optic,No,No,Yes,Electronic check,73.67,4946.96,No
CUST00241,Female,0,Yes,10,Two year,DSL,No,No internet service,No,Mailed check,56.57,548.0,No
CUST00242,Female,0,No,13,Two year,Fiber optic,Yes,Yes,No,Bank transfer,77.41,967.74,No
CUST00243,Female,0,Yes,48,Month-to-month,DSL,Yes,Yes,No,Credit card,102.07,4625.09,No
CUST00244,Female,0,Yes,25,Month-to-month,DSL,No,No,Yes,Electronic check,82.62,2013.04,No
CUST00245,Female,0,Yes,17,Two year,No,Yes,No,No,Credit card,85.24,1443.46,No
CUST00246,Male,0,Yes,31,Month-to-month,DSL,No,No,No,Credit card,72.35,2091.12,No
CUST00247,Female,0,Yes,39,Two year,Fiber optic,Yes,No,Yes,Electronic check,27.42,1042.48,No
CUST00248,Female,0,Yes,12,Two year,No,No,No internet service,Yes,Mailed check,38.88,434.58,No
CUST00249,Male,0,Yes,12,Two year,DSL,No internet service,No internet service,Yes,Electronic check,76.37,902.3,No
CUST00250,Male,0,Yes,9,Month-to-month,Fiber optic,No,No,Yes,Electronic check,64.73,549.79,No
CUST00251,Male,0,Yes,68,Month-to-month,DSL,No,Yes,Yes,Mailed check,76.0,4883.38,Yes
CUST00252,Male,0,No,23,Two year,DSL,No internet service,Yes,Yes,Electronic check,106.91,2402.84,Yes
CUST00253,Female,0,No,1,Month-to-month,Fiber optic,Yes,No internet service,No,Electronic check,83.15,78.96,Yes
CUST00254,Female,0,No,39,Month-to-month,No,No,No,No,Credit card,96.47,3486.42,Yes
CUST00255,Female,0,No,13,One year,DSL,Yes,No,No,Bank transfer,67.37,875.42,No
CUST00256,Female,0,No,1,Two year,Fiber optic,No,No,No,Bank transfer,44.82,43.12,Yes
CUST00257,Male,0,Yes,15,One year,Fiber optic,Yes,Yes,Yes,Electronic check,63.55,919.42,No
CUST00258,Female,1,Yes,10,One year,No,Yes,No,Yes,Credit card,44.88,432.94,No
CUST00259,Female,0,Yes,42,Month-to-month,DSL,Yes,Yes,No,Credit card,103.96,4315.39,No
CUST00260,Male,0,Yes,4,One year,Fiber optic,No,No,No,Mailed check,84.76,311.37,Yes
CUST00261,Male,0,No,35,Two year,Fiber optic,No,No,Yes,Credit card,78.01,2473.47,No
